온도,비율,리프레시 횟수,경과 시간(minute),성장 비율(%)
28,1:05:05,5,150,25
28,1:05:05,5,210,46
28,1:05:05,5,240,61
28,1:05:05,5,270,73
28,1:05:05,5,300,86
28,1:05:05,5,360,105
28,1:02:02,6,0,0
28,1:02:02,6,85,5
28,1:02:02,6,115,11
28,1:02:02,6,145,21
28,1:02:02,6,175,32
28,1:02:02,6,205,46
28,1:02:02,6,265,82
28,1:02:02,6,295,91
28,1:02:02,6,345,114
28,1:05:05,6,0,0
28,1:05:05,6,100,4
28,1:05:05,6,130,7
28,1:05:05,6,160,14
28,1:05:05,6,190,21
28,1:05:05,6,220,36
28,1:05:05,6,280,68
28,1:05:05,6,310,82
28,1:05:05,6,360,111
28,1:02:02,2,0,0
28,1:02:02,2,55,7
28,1:02:02,2,110,19
28,1:02:02,2,165,35
28,1:02:02,2,220,54
28,1:02:02,2,275,76
28,1:02:02,2,330,100
